MONTH,VNINDEX,VN30,MBB,SJC HN,BITCOIN
201901,910.65,886.06,17.17,36.78,59.754
201902,965.47,904.98,16.85,36.82,66.953
201903,980.76,900.13,17.56,36.42,72.156
201904,979.64,890.5,17.55,36.3,93.082
201905,959.88,876.29,16.79,36.3,151.026
201906,949.94,864.24,16.83,38.65,191.176
201907,991.66,883.19,17.87,39.6,179.92
201908,984.06,892.51,18.6,42.3,172.001
201909,996.56,922.89,19.83,41.65,149.153
201910,998.82,922.68,20,41.65,164.983
201911,970.75,887.47,19.26,41.24,136.55
201912,960.99,879.06,18.09,42.25,129.888
202001,936.62,848.63,18.09,44.1,169.749
202002,882.19,831.97,17.74,45,155.539
202003,662.53,610.76,11.78,47.1,117.629
202004,769.11,715.33,13.87,47.85,158.349
202005,864.47,806.23,14.96,48.52,173.724
202006,825.11,770.53,14.44,49.04,168.223
202007,798.39,740.73,13.7,56.68,209.468
202008,881.65,823.93,15.61,56.45,215.341
202009,905.21,858.54,17.17,55.1,199.446
202010,925.47,892.55,17.8,55.95,256.022
202011,1003.08,965.89,20.35,53.2,365.61
202012,1103.87,1070.77,23,55.55,538.885
202101,1056.61,1048.31,23.45,56.25,616.956
202102,1168.47,1173.6,27.65,55.7,843.353
202103,1191.44,1196.24,28.15,54.52,1110.14
202104,1239.39,1312.29,30.35,55.67,1332.86
202105,1328.05,1474.78,38,57.42,836.2372
202106,1408.55,1529,43.35,57.02,809
202107,1310.05,1447.23,39.015,57.27,937.245
202108,1331.47,1428.66,37.665,57.42,1085.581
202109,1342.06,1453.76,37.5975,56.76,998.41285
202110,1444.27,1532.35,38.475,58.47,1401.935
202111,1478.44,1537.59,39.15,60.72,1297.698
202112,1498.28,1535.71,39.015,61.67,1078.1305
202201,1478.96,1532.24,45.495,62.52,832.698
202202,1490.13,1517.18,46.44,65.97,879.788735
202203,1492.15,1508.53,44.4825,68.87,1088.781
202204,1292.68,1332.59,37.4625,69.32,738.4335
202205,1198.9,1252.24,32.67,68.82,445.929
202206,1197.6,1248.92,27.2295,66.7,458.67083
202207,1206.33,1232,28.863,67.82,535.74636
202208,1280.51,1301.44,32.0625,66.54,461.15046
202209,1132.11,1152.01,27,66.4,446.72003
